transaction_id,user_id,merchant_id,device_id,amount,user_age,account_balance,merchant_category,payment_method,device_type,location_country,transaction_timestamp,is_fraud
TX0000,USR000,MERCH000,DEV000,10.0,20,500.0,retail,credit,mobile,US,2026-07-17 00:00:00,1
TX0001,USR001,MERCH001,DEV001,12.5,21,515.0,electronics,debit,desktop,CA,2026-07-17 01:00:00,0
TX0002,USR002,MERCH002,DEV002,15.0,22,530.0,retail,debit,mobile,CA,2026-07-17 02:00:00,0
TX0003,USR003,MERCH003,DEV003,17.5,23,545.0,electronics,credit,desktop,CA,2026-07-17 03:00:00,0
TX0004,USR004,MERCH004,DEV004,20.0,24,560.0,retail,debit,mobile,US,2026-07-17 04:00:00,0
TX0005,USR005,MERCH000,DEV005,22.5,25,575.0,electronics,debit,desktop,CA,2026-07-17 05:00:00,0
TX0006,USR006,MERCH001,DEV006,25.0,26,590.0,retail,credit,mobile,CA,2026-07-17 06:00:00,0
TX0007,USR007,MERCH002,DEV007,27.5,27,605.0,electronics,debit,desktop,CA,2026-07-17 07:00:00,0
TX0008,USR008,MERCH003,DEV000,30.0,28,620.0,retail,debit,mobile,US,2026-07-17 08:00:00,0
TX0009,USR009,MERCH004,DEV001,32.5,29,635.0,electronics,credit,desktop,CA,2026-07-17 09:00:00,0
TX0010,USR000,MERCH000,DEV002,35.0,30,650.0,retail,debit,mobile,CA,2026-07-17 10:00:00,0
TX0011,USR001,MERCH001,DEV003,37.5,31,665.0,electronics,debit,desktop,CA,2026-07-17 11:00:00,0
TX0012,USR002,MERCH002,DEV004,40.0,32,680.0,retail,credit,mobile,US,2026-07-17 12:00:00,0
TX0013,USR003,MERCH003,DEV005,42.5,33,695.0,electronics,debit,desktop,CA,2026-07-17 13:00:00,0
TX0014,USR004,MERCH004,DEV006,45.0,34,710.0,retail,debit,mobile,CA,2026-07-17 14:00:00,0
TX0015,USR005,MERCH000,DEV007,47.5,35,725.0,electronics,credit,desktop,CA,2026-07-17 15:00:00,0
TX0016,USR006,MERCH001,DEV000,50.0,36,740.0,retail,debit,mobile,US,2026-07-17 16:00:00,0
TX0017,USR007,MERCH002,DEV001,52.5,37,755.0,electronics,debit,desktop,CA,2026-07-17 17:00:00,0
TX0018,USR008,MERCH003,DEV002,55.0,38,770.0,retail,credit,mobile,CA,2026-07-17 18:00:00,0
TX0019,USR009,MERCH004,DEV003,57.5,39,785.0,electronics,debit,desktop,CA,2026-07-17 19:00:00,0
TX0020,USR000,MERCH000,DEV004,60.0,40,800.0,retail,debit,mobile,US,2026-07-17 20:00:00,1
TX0021,USR001,MERCH001,DEV005,62.5,41,815.0,electronics,credit,desktop,CA,2026-07-17 21:00:00,0
TX0022,USR002,MERCH002,DEV006,65.0,42,830.0,retail,debit,mobile,CA,2026-07-17 22:00:00,0
TX0023,USR003,MERCH003,DEV007,67.5,43,845.0,electronics,debit,desktop,CA,2026-07-17 23:00:00,0
TX0024,USR004,MERCH004,DEV000,70.0,44,860.0,retail,credit,mobile,US,2026-07-18 00:00:00,0
TX0025,USR005,MERCH000,DEV001,72.5,45,875.0,electronics,debit,desktop,CA,2026-07-18 01:00:00,0
TX0026,USR006,MERCH001,DEV002,75.0,46,890.0,retail,debit,mobile,CA,2026-07-18 02:00:00,0
TX0027,USR007,MERCH002,DEV003,77.5,47,905.0,electronics,credit,desktop,CA,2026-07-18 03:00:00,0
TX0028,USR008,MERCH003,DEV004,80.0,48,920.0,retail,debit,mobile,US,2026-07-18 04:00:00,0
